Country Name,Country Code,Indicator Name,Indicator Code,2020,2021,2022,2023
Marshall Islands,MHL,GDP (current US$),NY.GDP.MKTP.CD,240751144.40918,257784881.591797,258774475.097656,
Middle income,MIC,GDP (current US$),NY.GDP.MKTP.CD,30578372789487.2,36110412339698.7,38281934115375.7,
North Macedonia,MKD,GDP (current US$),NY.GDP.MKTP.CD,12363580534.6811,13998355971.3044,13563132102.1663,
Mali,MLI,GDP (current US$),NY.GDP.MKTP.CD,17465392764.3706,19309463508.0377,18827176529.6983,
Malta,MLT,GDP (current US$),NY.GDP.MKTP.CD,15252609039.0749,18087205251.3605,18125564514.2664,
Myanmar,MMR,GDP (current US$),NY.GDP.MKTP.CD,79045695084.5069,66262813093.4824,62263466263.7375,
Middle East & North Africa (excluding high income),MNA,GDP (current US$),NY.GDP.MKTP.CD,1284883935067.64,1501058612650.41,1696713423187.56,
Montenegro,MNE,GDP (current US$),NY.GDP.MKTP.CD,4769996866.00758,5861427505.12493,6229801580.79157,
Mongolia,MNG,GDP (current US$),NY.GDP.MKTP.CD,13312981429.0891,15286441737.6686,17146471626.3963,
Northern Mariana Islands,MNP,GDP (current US$),NY.GDP.MKTP.CD,858000000.0,3169870939951.8335,3478231165177.1567,
Mozambique,MOZ,GDP (current US$),NY.GDP.MKTP.CD,14235420505.2904,16168056388.9101,18406835954.6695,
Mauritania,MRT,GDP (current US$),NY.GDP.MKTP.CD,8260752385.23089,9222536364.01272,9780863578.97688,
Mauritius,MUS,GDP (current US$),NY.GDP.MKTP.CD,11408106446.3144,11484357947.9086,12948726653.811,
Malawi,MWI,GDP (current US$),NY.GDP.MKTP.CD,12056108778.3125,12602334121.6286,13164667626.9363,
Malaysia,MYS,GDP (current US$),NY.GDP.MKTP.CD,337456163961.211,373832428055.449,407027451714.616,
North America,NAC,GDP (current US$),NY.GDP.MKTP.CD,22723045490000.2,25329679941464.1,27608729369422.0,
Namibia,NAM,GDP (current US$),NY.GDP.MKTP.CD,10583748541.5258,12446290854.8973,12914932655.685,
New Caledonia,NCL,GDP (current US$),NY.GDP.MKTP.CD,9454629467.91408,10071349663.8484,9623318718.31459,
Niger,NER,GDP (current US$),NY.GDP.MKTP.CD,13744653102.9945,14915002435.9913,15342278919.4009,
Nigeria,NGA,GDP (current US$),NY.GDP.MKTP.CD,432198898221.967,440838992188.478,472624597402.898,
Nicaragua,NIC,GDP (current US$),NY.GDP.MKTP.CD,12678162403.5929,14145880399.1935,15671583939.9889,
Netherlands,NLD,GDP (current US$),NY.GDP.MKTP.CD,909793466661.481,1029678338329.44,1009398719033.08,
Norway,NOR,GDP (current US$),NY.GDP.MKTP.CD,367633418886.627,503367986030.268,593348981537.661,
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,33433659223.6349,36924841428.7182,40828247303.5337,
Nauru,NRU,GDP (current US$),NY.GDP.MKTP.CD,124685688.161094,145536615.893046,151647846.128953,
New Zealand,NZL,GDP (current US$),NY.GDP.MKTP.CD,212569779569.519,255551704625.831,248101705541.399,
OECD members,OED,GDP (current US$),NY.GDP.MKTP.CD,52590370145873.6,58623788402038.1,59849878381707.5,
Oman,OMN,GDP (current US$),NY.GDP.MKTP.CD,75909397659.2978,88191977373.212,114667360208.062,
Other small states,OSS,GDP (current US$),NY.GDP.MKTP.CD,378440036056.011,457103617285.36,530807158164.414,
Pakistan,PAK,GDP (current US$),NY.GDP.MKTP.CD,300425609817.981,348516647445.148,374697366359.244,
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,57086836900.0,67406738100.0,76522511800.0,
Peru,PER,GDP (current US$),NY.GDP.MKTP.CD,201947615138.567,223717799056.526,242631573320.79,
Philippines,PHL,GDP (current US$),NY.GDP.MKTP.CD,361751145451.597,394087359844.049,404284326110.463,
Palau,PLW,GDP (current US$),NY.GDP.MKTP.CD,257885921.875,232903015.625,3478231165177.1567,
Papua New Guinea,PNG,GDP (current US$),NY.GDP.MKTP.CD,23848445103.9227,26113333244.5115,31603619041.7903,
Poland,POL,GDP (current US$),NY.GDP.MKTP.CD,599442783598.064,681346136411.701,688125010520.52,
Pre-demographic dividend,PRE,GDP (current US$),NY.GDP.MKTP.CD,1309417999889.29,1432814193024.43,1617245641605.59,
Puerto Rico,PRI,GDP (current US$),NY.GDP.MKTP.CD,103130900000.0,106368900000.0,113434800000.0,
"Korea, Dem. People's Rep.",PRK,GDP (current US$),NY.GDP.MKTP.CD,2742180484856.228,3169870939951.8335,3478231165177.1567,
Portugal,PRT,GDP (current US$),NY.GDP.MKTP.CD,229031860520.777,255534839405.899,255196660987.427,
Paraguay,PRY,GDP (current US$),NY.GDP.MKTP.CD,35432178068.1814,39950899938.7482,41722295229.2279,
West Bank and Gaza,PSE,GDP (current US$),NY.GDP.MKTP.CD,15531700000.0,18109000000.0,19111900000.0,
Pacific island small states,PSS,GDP (current US$),NY.GDP.MKTP.CD,9492350931.30444,9500154100.4459,10324332231.7802,
Post-demographic dividend,PST,GDP (current US$),NY.GDP.MKTP.CD,49740885136767.3,55301094121160.7,56211584699649.4,
French Polynesia,PYF,GDP (current US$),NY.GDP.MKTP.CD,5792545870.80614,6150640646.38319,5814661208.90544,
Qatar,QAT,GDP (current US$),NY.GDP.MKTP.CD,144411363345.27,179732009554.846,236258302839.653,
Romania,ROU,GDP (current US$),NY.GDP.MKTP.CD,251362514349.697,285810244501.933,300691354864.855,
Russian Federation,RUS,GDP (current US$),NY.GDP.MKTP.CD,1493075894362.14,1836892075547.52,2240422427458.58,
